field_type,name,variableName,required,description,selectType,minValue,maxValue,stepValue,defaultValue,precision,unitLabel,minLength,maxLength,lastModifiedBy,quantitySelectionLinked,enrichEnabled,defaultType,defaultBomType,defaultParentProduct,defaultUom,defaultPricingProductSellingModelId,defaultPricingStartDate,defaultPricingEndDate
TextField,FG1-2,fG12,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG3-2,fG32,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG2-3,fG23,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,fg2header_sc,fg2header_sc,false,,,,,,Dynamic 2,,,,,provisioning@logik.io.samdemo,,,,,,,,,
BooleanField,hidden_sc,hidden_sc,false,,,,,,false,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,fg1header_sc,fg1header_sc,false,,,,,,Header 1,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG2-2,fG22,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG2-1,fG21,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG1-1,fG11,false,,,,,,Lorem ipsum dolor set. Lorem ipsum dolor set. Lorem ipsum dolor set. Lorem ipsum dolor set. Lorem ipsum dolor set.,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,fg3header_sc,fg3header_sc,false,,,,,,Custom,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG3-3,fG33,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG3-1,fG31,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
TextField,FG-1-3,fG13,false,,,,,,,,,,,provisioning@logik.io.samdemo,,,,,,,,,
